Original-name,Fixed-name,office sought,General win/lost,Lost in primary,Party,City,Current elected official,Year,Do they have a pac
"Sparks, Dean","Sparks, Dean",House of Representatives District 31,Lost,Lost,Democrat,Spring City,No,2018,
"Spivey, Billy","Spivey, Billy",House of Representatives District 92,Lost,Lost,Republican,Lewisburg,No,2018,
"Spivey, Billy","Spivey, Billy",Senate District 14,Lost,Lost,Republican,Lewisburg,No,2018,
"Staples, Rick","Staples, Rick",House of Representatives District 15,Won,Won,Democrat,Knoxville,No,2018,
"Starnes, Nolan","Starnes, Nolan",Senate District 19,Lost,Lost,Independent,Nashville,No,2018,
"Starr, Stuart","Starr, Stuart",Senate District 5,Lost,Won,Democrat,Lenoir City,No,2018,
"Stephens, Tom","Stephens, Tom",Senate District 29,Lost,Won,Republican,Millington,No,2018,
"Stephenson, Jeremy Allen","Stephenson, Jeremy Allen",Governor,Lost,Won,Independent,Seymour,No,2018,
"Stewart, Mike","Stewart, Mike",House of Representatives District 52,Won,Won,Democrat,Nashville,No,2018,
"Stewart, Sloan Andrew","Stewart, Sloan Andrew",House of Representatives District 39,Lost,Lost,Republican,Winchester,No,2018,
"Stroud, Randell","Stroud, Randell",House of Representatives District 51,Lost,Won,Independent,Nashville,No,2018,
"Swann (House), Art","Swann (House), Art",House of Representatives District 8,Lost,Lost,Republican,Alcoa,No,2018,
"Tate, Reginald","Tate, Reginald",Senate District 33,Lost,Lost,Democrat,Memphis,No,2018,
"Thomas, George","Thomas, George",Senate District 19,Lost,Lost,Democrat,Nashville,No,2018,
"Thomas, Jacqueline Anderson","Thomas, Jacqueline Anderson",House of Representatives District 28,Lost,Lost,Democrat,Chattanooga,No,2018,
"Thongnopnua, Joda","Thongnopnua, Joda",House of Representatives District 30,Lost,Won,Democrat,Chattanooga,No,2018,
"Tillis, Thomas R.","Tillis, Thomas R.",House of Representatives District 92,Won,Won,Republican,Lewisburg,No,2018,
"Tisdale, Tracy C. Yaste","Tisdale, Tracy C. Yaste",Governor,Lost,Won,Independent,Maryville,No,2018,
"Toews, Mike","Toews, Mike",Governor,Lost,Won,Independent,Signal Mountain,No,2018,
"Trotman, Les","Trotman, Les",House of Representatives District 43,Lost,Won,Democrat,Mcminnville,No,2018,
"Trudell, Kate","Trudell, Kate",House of Representatives District 16,Lost,Won,Democrat,Knoxville,No,2018,
"Turner, Johnnie R.","Turner, Johnnie R.",House of Representatives District 85,Lost,Lost,Democrat,Memphis,No,2018,
"Tyler, Rick","Tyler, Rick",Governor,Lost,Won,Independent,Ocoee,No,2018,
"Vallejos, Tommy","Vallejos, Tommy",House of Representatives District 67,Lost,Won,Republican,Clarksville,No,2018,
"Van Huss, Micah","Van Huss, Micah",House of Representatives District 6,Won,Won,Republican,Gray,No,2018,
"Vannoy, Jennifer","Vannoy, Jennifer",House of Representatives District 34,Lost,Won,Democrat,Murfreesboro,No,2018,
"Varner, Nathaniel","Varner, Nathaniel",House of Representatives District 33,Lost,Lost,Democrat,Oak Ridge,No,2018,
"Vineyard, Vinnie","Vineyard, Vinnie",Governor,Lost,Won,Independent,Pigeon Forge,No,2018,
"Waldrop, Roy Donald","Waldrop, Roy Donald",House of Representatives District 70,Lost,Won,Independent,Leoma,No,2018,
"Walker, Dan","Walker, Dan",House of Representatives District 57,Lost,Lost,Republican,Mt. Juliet,No,2018,
"Weatherspoon, David","Weatherspoon, David",Senate District 31,Lost,Lost,Democrat,Memphis,No,2018,
"Weaver, Terri Lynn","Weaver, Terri Lynn",House of Representatives District 40,Won,Won,Republican,Lancaster,No,2018,
"Weidner, Jaron D.","Weidner, Jaron D.",Governor,Lost,Won,Independent,Memphis,No,2018,
"Westover, Michelle","Westover, Michelle",House of Representatives District 19,Lost,Won,Independent,Strawberry Plains,No,2018,
"White, Kay","White, Kay",Governor,Lost,Lost,Republican,Johnson City,No,2018,
"Whitlock, Patrick","Whitlock, Patrick",Governor,Lost,Won,Independent,Franklin,No,2018,
"Wildridge, Gordon D.","Wildridge, Gordon D.",House of Representatives District 72,Lost,Lost,Republican,Lexington,No,2018,
"Williams, Brett N.","Williams, Brett N.",House of Representatives District 85,Lost,Lost,Democrat,Memphis,No,2018,
"Williams, Chad","Williams, Chad",House of Representatives District 40,Lost,Lost,Republican,Lancaster,No,2018,
"Williams, Jacaranda R.","Williams, Jacaranda R.",Senate District 27,Lost,Lost,Democrat,Ripley,No,2018,
"Williams, Joseph","Williams, Joseph",House of Representatives District 56,Lost,Lost,Republican,Nashville,No,2018,
"Williams, Lemon C.","Williams, Lemon C.",House of Representatives District 28,Lost,Won,Republican,Chattanooga,No,2018,
"Williams, Lynnette P.","Williams, Lynnette P.",House of Representatives District 85,Lost,Lost,Democrat,Memphis,No,2018,
"Williams, Mike","Williams, Mike",House of Representatives District 35,Lost,Lost,Republican,Maynardville,No,2018,
"Williams, Robert G.","Williams, Robert G.",House of Representatives District 12,Lost,Won,Democrat,Sevierville,No,2018,
"Williams, Scott P.","Williams, Scott P.",Senate District 2,Lost,Lost,Republican,Maryville,No,2018,
"Williamson, Savannah","Williamson, Savannah",Senate District 27,Lost,Won,Democrat,Denmark,No,2018,
"Wilmoth, Joe B.","Wilmoth, Joe B.",Governor,Lost,Won,Independent,Cookeville,No,2018,
"Winder, Iii, Donald","Winder, Iii, Donald",House of Representatives District 23,Lost,Lost,Republican,Athens,No,2018,
"Windle, John Mark","Windle, John Mark",House of Representatives District 41,Won,Won,Democrat,Jamestown,No,2018,
"Winkle, Derek","Winkle, Derek",House of Representatives District 9,Lost,Won,Democrat,Rogersville,No,2018,
"Winton, Michael","Winton, Michael",House of Representatives District 47,Lost,Won,Democrat,Tullahoma,No,2018,
"Wirgau, Timothy","Wirgau, Timothy",House of Representatives District 75,Lost,Lost,Republican,Paris,No,2018,
"Wiser, Donald M.","Wiser, Donald M.",House of Representatives District 19,Lost,Lost,Republican,Knoxville,No,2018,
"Woodruff, Brandon","Woodruff, Brandon",House of Representatives District 28,Lost,Lost,Democrat,Chattanooga,No,2018,
"Wright, Justin","Wright, Justin",House of Representatives District 77,Lost,Lost,Republican,Newbern,No,2018,
"Wright, Mark","Wright, Mark",Governor,Lost,Won,Independent,Murfreesboro,No,2018,
"Yokley, Jessica B.","Yokley, Jessica B.",House of Representatives District 70,Lost,Won,Democrat,Lawrenceburg,No,2018,
"York, Jr., John H.","York, Jr., John H.",Senate District 27,Lost,Lost,Democrat,Maury City,No,2018,
"Pody, Mark","Pody, Mark",Senate District 17,Lost,Won,Republican,Lebanon,Yes,2017,
"Vaughan, Kevin","Vaughan, Kevin",House of Representatives District 95,Won,Won,Republican,Collierville,Yes,2017,
"Ashworth, Julie Byrd","Ashworth, Julie Byrd",House of Representatives District 95,Lost,Won,Democrat,Collierville,No,2017,
"Carfi, Mary Alice","Carfi, Mary Alice",Senate District 17,Lost,Won,Democrat,Lebanon,No,2017,
"Crone, Joseph","Crone, Joseph",House of Representatives District 95,Lost,Lost,Republican,Eads,No,2017,
"Horner, Gail Williams","Horner, Gail Williams",House of Representatives District 95,Lost,Lost,Republican,Collierville,No,2017,
"Loynachan, Curtis D.","Loynachan, Curtis D.",House of Representatives District 95,Lost,Lost,Republican,Collierville,No,2017,
"Marshall, Melissa","Marshall, Melissa",House of Representatives District 95,Lost,Lost,Republican,Collierville,No,2017,
"Patton, Billy","Patton, Billy",House of Representatives District 95,Lost,Lost,Republican,Collierville,No,2017,
"Schutt, Robert","Schutt, Robert",House of Representatives District 95,Lost,Lost,Independent,Eads,No,2017,
"Tomasik, James L.","Tomasik, James L.",House of Representatives District 95,Lost,Won,Independent,Cordova,No,2017,
"Uhlhorn, Frank","Uhlhorn, Frank",House of Representatives District 95,Lost,Lost,Republican,Germantown,No,2017,
"Wilson, Steve","Wilson, Steve",Senate District 17,Lost,Lost,Republican,Lebanon,No,2017,
"Akbari, Raumesh","Akbari, Raumesh",House of Representatives District 91,Won,Won,Democrat,Memphis,Yes,2016,
"Bowling, Janice","Bowling, Janice",Senate District 16,Won,Won,Republican,Tullahoma,Yes,2016,
"Butler, Ed","Butler, Ed",House of Representatives District 41,Lost,Won,Republican,Rickman,Yes,2016,
"Camper, Karen","Camper, Karen",House of Representatives District 87,Won,Won,Democrat,Memphis,Yes,2016,
"Carr, Bruce Dale","Carr, Dale",House of Representatives District 12,Won,Won,Republican,Sevierville,Yes,2016,
"Clemmons, John Ray","Clemmons, John Ray",House of Representatives District 55,Won,Won,Democrat,Nashville,Yes,2016,
"Crawford, John","Crawford, John",House of Representatives District 1,Won,Won,Republican,Kingsport,Yes,2016,
"Faison, Jeremy","Faison, Jeremy",House of Representatives District 11,Won,Won,Republican,Cosby,Yes,2016,
"Farmer, Andrew Ellis","Farmer, Andrew",House of Representatives District 17,Won,Won,Republican,Sevierville,Yes,2016,
"Gant, Ron","Gant, Ron",House of Representatives District 94,Won,Won,Republican,Rossville,Yes,2016,
"Gardenhire, Todd","Gardenhire, Todd",Senate District 10,Won,Won,Republican,Chattanooga,Yes,2016,
"Haile, Ferrell","Haile, Ferrell",Senate District 18,Won,Won,Republican,Gallatin,Yes,2016,
"Hardaway, G. A.","Hardaway, G. A.",House of Representatives District 93,Won,Won,Democrat,Memphis,Yes,2016,
"Hawk, David","Hawk, David",House of Representatives District 5,Won,Won,Republican,Greeneville,Yes,2016,
"Hazlewood, Patsy","Hazlewood, Patsy",House of Representatives District 27,Won,Won,Republican,Signal Mountain,Yes,2016,
"Hensley, Joey","Hensley, Joey",Senate District 28,Won,Won,Republican,Hohenwald,Yes,2016,
"Hicks, Jr., Gary","Hicks, Gary",House of Representatives District 9,Won,Won,Republican,Rogersville,Yes,2016,
"Hill, Timothy","Hill, Timothy",House of Representatives District 3,Won,Won,Republican,Blountville,Yes,2016,
"Holsclaw, John B.","Holsclaw, John",House of Representatives District 4,Won,Won,Republican,Johnson City,Yes,2016,
"Howell, Dan","Howell, Dan",House of Representatives District 22,Won,Won,Republican,Georgetown,Yes,2016,
"Hulsey, Bud","Hulsey, Bud",House of Representatives District 2,Won,Won,Republican,Kingsport,Yes,2016,
"Jernigan, Darren","Jernigan, Darren",House of Representatives District 60,Won,Won,Democrat,Old Hickory,Yes,2016,
"Johnson, Curtis","Johnson, Curtis",House of Representatives District 68,Won,Won,Republican,Clarksville,Yes,2016,
"Johnson, Gloria","Johnson, Gloria",House of Representatives District 13,Lost,Won,Democrat,Knoxville,Yes,2016,
"Keisling, Kelly","Keisling, Kelly",House of Representatives District 38,Won,Won,Republican,Byrdstown,Yes,2016,
"Kumar, Sabi (Doc)","Kumar, Sabi",House of Representatives District 66,Won,Won,Republican,Springfield,Yes,2016,
"Kyle, Sara P.","Kyle, Sara",Senate District 30,Won,Won,Democrat,Memphis,Yes,2016,
"Lamberth, Ii, William G.","Lamberth, William",House of Representatives District 44,Lost,Lost,Republican,Portland,Yes,2016,
"Littleton, Mary","Littleton, Mary",House of Representatives District 78,Won,Won,Republican,Dickson,Yes,2016,
"Love, Jr., Harold M.","Love, Harold",House of Representatives District 58,Won,Won,Democrat,Nashville,Yes,2016,
"Lundberg, Jon","Lundberg, Jon",Senate District 4,Won,Won,Republican,Bristol,Yes,2016,
"Lynn, Susan","Lynn, Susan",House of Representatives District 57,Won,Won,Republican,Old Hickory,Yes,2016,
"Marsh, Pat","Marsh, Pat",House of Representatives District 62,Won,Won,Republican,Shelbyville,Yes,2016,
"Massey, Rebecca Duncan","Massey, Rebecca Duncan",Senate District 6,Won,Won,Republican,Knoxville,Yes,2016,
"Miller, Larry","Miller, Larry",House of Representatives District 88,Won,Won,Democrat,Memphis,Yes,2016,
"Mitchell, Bo","Mitchell, Bo",House of Representatives District 50,Won,Won,Democrat,Nashville,Yes,2016,
"Moody, Debra","Moody, Debra",House of Representatives District 81,Won,Won,Republican,Covington,Yes,2016,
"Niceley, Frank","Niceley, Frank",Senate District 8,Won,Won,Republican,Strawberry Plains,Yes,2016,
"Parkinson, Antonio ","Parkinson, Antonio ",House of Representatives District 98,Won,Won,Democrat,Memphis,Yes,2016,
"Pody, Mark","Pody, Mark",House of Representatives District 46,Won,Won,Republican,Lebanon,Yes,2016,
"Powell, Jason","Powell, Jason",House of Representatives District 53,Won,Won,Democrat,Nashville,Yes,2016,
"Powers, Dennis","Powers, Dennis",House of Representatives District 36,Won,Won,Republican,Jacksboro,Yes,2016,
"Ragan, John","Ragan, John",House of Representatives District 33,Won,Won,Republican,Oak Ridge,Yes,2016,
"Reedy, Jay D.","Reedy, Jay",House of Representatives District 74,Won,Won,Republican,Erin,Yes,2016,
"Rudd, Tim","Rudd, Tim",House of Representatives District 34,Won,Won,Republican,Murfreesboro,Yes,2016,
"Sexton, Cameron","Sexton, Cameron",House of Representatives District 25,Won,Won,Republican,Crossville,Yes,2016,
"Shaw, Johnny","Shaw, Johnny",House of Representatives District 80,Won,Won,Democrat,Bolivar,Yes,2016,
"Sherrell, Paul","Sherrell, Paul",House of Representatives District 43,Won,Won,Republican,Sparta,Yes,2016,
"Sparks, Michael","Sparks, Mike",House of Representatives District 49,Won,Won,Republican,Smyrna,Yes,2016,
"Stevens, John","Stevens, John",Senate District 24,Won,Won,Republican,Huntingdon,Yes,2016,
"Swann, Art","Swann, Art",House of Representatives District 8,Won,Won,Republican,Alcoa,Yes,2016,
"Terry, Gregory Bryan","Terry, Bryan",House of Representatives District 48,Won,Won,Republican,Murfreesboro,Yes,2016,
"Thompson, Hilman Dwayne","Thompson, Dwayne",House of Representatives District 96,Won,Won,Democrat,Cordova,Yes,2016,
"Towns, Jr., Joe","Towns, Joe",House of Representatives District 84,Won,Won,Democrat,Memphis,Yes,2016,
"Travis, Ron","Travis, Ron",House of Representatives District 31,Won,Won,Republican,Dayton,Yes,2016,
"White, Dawn","White, Dawn",House of Representatives District 37,Won,Won,Republican,Murfreesboro,Yes,2016,
"White, Mark","White, Mark",House of Representatives District 83,Won,Won,Republican,Memphis,Yes,2016,
"Whitson, Sam","Whitson, Sam",House of Representatives District 65,Won,Won,Republican,Franklin,Yes,2016,
"Williams, Ryan","Williams, Ryan",House of Representatives District 42,Won,Won,Republican,Cookeville,Yes,2016,
"Yager, Ken","Yager, Ken",Senate District 12,Won,Won,Republican,Kingston,Yes,2016,
"Zachary, Jason","Zachary, Jason",House of Representatives District 14,Won,Won,Republican,Knoxville,Yes,2016,
"Acuff, James","Acuff, James",House of Representatives District 35,Lost,Lost,Republican,Washburn,No,2016,
"Alexander, David","Alexander, David",House of Representatives District 39,Won,Won,Republican,Winchester,No,2016,
"Armstrong, Joe","Armstrong, Joe",House of Representatives District 15,Lost,Lost,Democrat,Knoxville,No,2016,
"Baker, John C.","Baker, John C.",House of Representatives District 6,Lost,Won,Democrat,Johnson City,No,2016,
"Barnett, Judy","Barnett, Judy",House of Representatives District 25,Lost,Won,Democrat,Crossville,No,2016,
"Bauhs, Raymond E.","Bauhs, Raymond E.",House of Representatives District 69,Lost,Lost,Republican,Lyles,No,2016,
"Beck, Bill","Beck, Bill",House of Representatives District 51,Won,Won,Democrat,Nashville,No,2016,
"Belote, David","Belote, David",House of Representatives District 76,Lost,Lost,Republican,Martin,No,2016,
"Benson, Clyde","Benson, Clyde",House of Representatives District 39,Lost,Lost,Republican,Huntland,No,2016,
"Bernstein, Bill","Bernstein, Bill",House of Representatives District 50,Lost,Lost,Republican,Nashville,No,2016,
"Billingsley, Colonel G.","Billingsley, Colonel G.",House of Representatives District 93,Lost,Lost,Republican,Memphis,No,2016,
"Blalock, Davette","Blalock, Davette",House of Representatives District 53,Lost,Won,Republican,Nashville,No,2016,
"Blevins, John Paul","Blevins, John Paul",Senate District 4,Lost,Lost,Republican,Blountville,No,2016,
"Bohling, Laura","Bohling, Laura",House of Representatives District 34,Lost,Won,Democrat,Christiana,No,2016,
"Brooks, Ernest T.","Brooks, Ernest T.",House of Representatives District 80,Lost,Lost,Democrat,Jackson,No,2016,
"Brooks, Harry","Brooks, Harry",House of Representatives District 19,Won,Won,Republican,Knoxville,No,2016,
"Brooks, Kevin","Brooks, Kevin",House of Representatives District 24,Won,Won,Republican,Cleveland,No,2016,
"Butt, Sheila","Butt, Sheila",House of Representatives District 64,Won,Won,Republican,Columbia,No,2016,
"Byrd, David","Byrd, David",House of Representatives District 71,Won,Won,Republican,Waynesboro,No,2016,
"Calfee, Kent","Calfee, Kent",House of Representatives District 32,Won,Won,Republican,Kingston,No,2016,
"Callis, Angela","Callis, Angela",House of Representatives District 76,Lost,Lost,Democrat,Martin,No,2016,
"Campbell, Frederick","Campbell, Frederick",House of Representatives District 38,Lost,Won,Democrat,Lafayette,No,2016,
"Campbell, Seth James","Campbell, Seth James",House of Representatives District 64,Lost,Lost,Democrat,Columbia,No,2016,
"Carter, Mike","Carter, Mike",House of Representatives District 29,Won,Won,Republican,Chattanooga,No,2016,
"Casada, Glen","Casada, Glen",House of Representatives District 63,Won,Won,Republican,Thompsons Station,No,2016,
"Castleman, Bennie W.","Castleman, Bennie W.",House of Representatives District 76,Lost,Won,Independent,Martin,No,2016,
"Christian, Stephen","Christian, Stephen",House of Representatives District 88,Lost,Lost,Democrat,Memphis,No,2016,
"Clark, Dennis","Clark, Dennis",House of Representatives District 28,Lost,Lost,Democrat,Chattanooga,No,2016,
"Coffman, Rusty","Coffman, Rusty",House of Representatives District 94,Lost,Lost,Republican,Michie,No,2016,
"Cole, Justin (Andy)","Cole, Justin (Andy)",House of Representatives District 82,Lost,Won,Republican,Alamo,No,2016,
"Coleman, Erin","Coleman, Erin",Senate District 20,Lost,Won,Democrat,Nashville,No,2016,
"Coley, James","Coley, James",House of Representatives District 97,Won,Won,Republican,Bartlett,No,2016,
"Collins, Herman","Collins, Herman",House of Representatives District 33,Lost,Lost,Democrat,Clinton,No,2016,
"Cooper, Barbara","Cooper, Barbara",House of Representatives District 86,Won,Won,Democrat,Memphis,No,2016,
"Cooper, Thomas","Cooper, Thomas",House of Representatives District 94,Lost,Lost,Republican,Piperton,No,2016,
"Corcoran, James","Corcoran, James",House of Representatives District 18,Lost,Lost,Republican,Knoxville,No,2016,
"Cotton, Barry","Cotton, Barry",House of Representatives District 74,Lost,Lost,Republican,Mcewen,No,2016,
"Cowley, Katie R.","Cowley, Katie R.",House of Representatives District 30,Lost,Won,Democrat,Ooltewah,No,2016,
"Cox, Beth","Cox, Beth",House of Representatives District 45,Lost,Lost,Republican,Hendersonville,No,2016,
"Curcio, Michael G.","Curcio, Michael G.",House of Representatives District 69,Won,Won,Republican,Dickson,No,2016,
"Cutting, David L.","Cutting, David L.",Senate District 22,Lost,Won,Democrat,Clarksville,No,2016,
"Daniel, Martin","Daniel, Martin",House of Representatives District 18,Won,Won,Republican,Knoxville,No,2016,
"Davidson, Jeff","Davidson, Jeff",House of Representatives District 58,Lost,Lost,Democrat,Nashville,No,2016,
"Dean, Pat","Dean, Pat",House of Representatives District 25,Lost,Lost,Republican,Crossville,No,2016,
"Deberry, Jr., John","Deberry, Jr., John",House of Representatives District 90,Won,Won,Democrat,Memphis,No,2016,
"Demetreon, Alice","Demetreon, Alice",Senate District 16,Lost,Lost,Democrat,Whitwell,No,2016,
"Dickerson, Steven","Dickerson, Steven",Senate District 20,Won,Won,Republican,Nashville,No,2016,
"Dodson, Bryan","Dodson, Bryan",House of Representatives District 18,Lost,Lost,Republican,Knoxville,No,2016,
"Doss, Barry","Doss, Barry",House of Representatives District 70,Lost,Lost,Republican,Leoma,No,2016,
"Dotson, Larry T.","Dotson, Larry T.",House of Representatives District 82,Lost,Lost,Republican,Whiteville,No,2016,
"Drew, Charles E. (Pete)","Drew, Charles E. (Pete)",House of Representatives District 15,Lost,Won,Independent,Knoxville,No,2016,
"Duck, Samuel David","Duck, Samuel David",House of Representatives District 20,Lost,Won,Independent,Maryville,No,2016,
"Dunlap, W. Kevin","Dunlap, W. Kevin",House of Representatives District 43,Lost,Won,Democrat,Rock Island,No,2016,
"Dunn, Bill","Dunn, Bill",House of Representatives District 16,Won,Won,Republican,Knoxville,No,2016,
"Dunn, Lloyd G.","Dunn, Lloyd G.",House of Representatives District 44,Lost,Won,Democrat,Portland,No,2016,
"Durham, Jeremy","Durham, Jeremy",House of Representatives District 65,Lost,Lost,Republican,Brentwood,No,2016,
"Dykes, Iii, Roland A.","Dykes, Iii, Roland A.",House of Representatives District 11,Lost,Lost,Democrat,Newport,No,2016,
"Edwards, George","Edwards, George",House of Representatives District 86,Lost,Won,Republican,Millington,No,2016,
"Edwards, Sharon Kay","Edwards, Sharon Kay",House of Representatives District 62,Lost,Won,Democrat,Shelbyville,No,2016,
"Elder, Claude Sam","Elder, Claude Sam",House of Representatives District 43,Lost,Lost,Republican,Sparta,No,2016,
"Eldridge, Jimmy","Eldridge, Jimmy",House of Representatives District 73,Won,Won,Republican,Jackson,No,2016,
"Evans, Dustin","Evans, Dustin",House of Representatives District 69,Lost,Won,Democrat,Dickson,No,2016,
"Fannon, Bob","Fannon, Bob",House of Representatives District 36,Lost,Won,Democrat,Lafollette,No,2016,
"Farmer, Trisha","Farmer, Trisha",House of Representatives District 57,Lost,Lost,Democrat,Mt. Juliet,No,2016,
"Favors, Joanne","Favors, Joanne",House of Representatives District 28,Won,Won,Democrat,Chattanooga,No,2016,
"Fischman, Nancy","Fischman, Nancy",House of Representatives District 7,Lost,Lost,Democrat,Johnson City,No,2016,
"Fitzhugh, Craig","Fitzhugh, Craig",House of Representatives District 82,Won,Won,Democrat,Ripley,No,2016,
"Forgety, John W.","Forgety, John W.",House of Representatives District 23,Won,Won,Republican,Athens,No,2016,
"Fortner, Scott","Fortner, Scott",House of Representatives District 76,Lost,Lost,Republican,Martin,No,2016,
"Gallman, Rhonda","Gallman, Rhonda",House of Representatives District 15,Lost,Won,Independent,Knoxville,No,2016,
"Gaugh, Glen","Gaugh, Glen",House of Representatives District 73,Lost,Lost,Republican,Jackson,No,2016,
"Gawrys, Steve","Gawrys, Steve",House of Representatives District 61,Lost,Lost,Republican,Brentwood,No,2016,
"George, Diane","George, Diane",House of Representatives District 95,Lost,Lost,Republican,Collierville,No,2016,
"Gibbs, Jim","Gibbs, Jim",House of Representatives District 46,Lost,Lost,Republican,Woodbury,No,2016,
"Gilmore, Brenda","Gilmore, Brenda",House of Representatives District 54,Won,Won,Democrat,Goodlettsville,No,2016,
"Givens, Stacey L.","Givens, Stacey L.",House of Representatives District 65,Lost,Lost,Republican,Fairview,No,2016,
"Glover, Steve","Glover, Steve",House of Representatives District 60,Lost,Won,Republican,Hermitage,No,2016,
"Goff, Becky","Goff, Becky",House of Representatives District 37,Lost,Won,Democrat,Murfreesboro,No,2016,
"Goins, Tilman","Goins, Tilman",House of Representatives District 10,Won,Won,Republican,Morristown,No,2016,
"Gordon, Steve","Gordon, Steve",House of Representatives District 27,Lost,Won,Democrat,Chattanooga,No,2016,
"Grabowski, Anna","Grabowski, Anna",House of Representatives District 22,Lost,Won,Democrat,Ten Mile,No,2016,
"Graham, Benjamin","Graham, Benjamin",House of Representatives District 57,Lost,Lost,Republican,Mt. Juliet,No,2016,
"Gravitt, Marc","Gravitt, Marc",House of Representatives District 30,Won,Won,Republican,East Ridge,No,2016,
"Gray, James","Gray, James",House of Representatives District 64,Lost,Won,Independent,Columbia,No,2016,
"Green (Closed), Mark","Green, Mark",Senate District 22,Lost,Lost,Republican,Clarksville,No,2016,
"Green (Senate), Mark E.","Green, Mark",Senate District 22,Won,Won,Republican,Ashland City,No,2016,
"Gresham, Dolores","Gresham, Dolores",Senate District 26,Won,Won,Republican,Somerville,No,2016,
"Griffin, June","Griffin, June",House of Representatives District 31,Lost,Lost,Republican,Dayton,No,2016,
"Hacker, Scott","Hacker, Scott",House of Representatives District 14,Lost,Won,Democrat,Knoxville,No,2016,
"Hall, Steve","Hall, Steve",House of Representatives District 18,Lost,Lost,Republican,Knoxville,No,2016,
"Harris, Daniel M.","Harris, Daniel M.",House of Representatives District 94,Lost,Won,Democrat,Somerville,No,2016,
"Harris, R. Price","Harris, R. Price",House of Representatives District 96,Lost,Lost,Republican,Memphis,No,2016,
"Harrison, Michael","Harrison, Michael",House of Representatives District 9,Lost,Lost,Republican,Johnson City,No,2016,
"Hart, James","Hart, James",House of Representatives District 75,Lost,Won,Independent,Buchanan,No,2016,
"Harwell (House 16), Beth Halteman","Harwell (House 16), Beth Halteman",House of Representatives District 56,Won,Won,Republican,Nashville,No,2016,
"Hatten, Johnnie","Hatten, Johnnie",House of Representatives District 98,Lost,Lost,Democrat,Memphis,No,2016,
"Hendrix, Gayla","Hendrix, Gayla",House of Representatives District 40,Lost,Won,Democrat,Smithville,No,2016,
"Hensley, Heather C.","Hensley, Heather C.",House of Representatives District 89,Lost,Won,Democrat,Knoxville,No,2016,
"Hickey, Patrick","Hickey, Patrick",House of Representatives District 30,Lost,Won,Independent,Wildwood,No,2016,
"Hill, Matthew","Hill, Matthew",House of Representatives District 7,Won,Won,Republican,Jonesborough,No,2016,
"Hipps, Amelia","Hipps, Amelia",House of Representatives District 46,Lost,Won,Democrat,Lebanon,No,2016,
"Hobbs, Timothy Tucker","Hobbs, Timothy Tucker",House of Representatives District 69,Lost,Lost,Democrat,Bon Aqua,No,2016,
"Holladay, Aaron","Holladay, Aaron",House of Representatives District 49,Lost,Lost,Republican,Lavergne,No,2016,
"Holt, Andrew","Holt, Andrew",House of Representatives District 76,Won,Won,Republican,Dresden,No,2016,
"Housley, Daniel L.","Housley, Daniel L.",House of Representatives District 23,Lost,Won,Independent,Athens,No,2016,
"Huff, Sr., John R.","Huff, Sr., John R.",House of Representatives District 12,Lost,Won,Independent,Seymour,No,2016,
"Irons, Felicia","Irons, Felicia",House of Representatives District 85,Lost,Lost,Democrat,Memphis,No,2016,
"Isbel, Tim","Isbel, Tim",House of Representatives District 33,Lost,Lost,Republican,Lake City,No,2016,
"Jackson, Cynthia Bundren","Jackson, Cynthia Bundren",House of Representatives District 9,Lost,Lost,Republican,Rogersville,No,2016,
"Jackson, Jeffrey L.","Jackson, Jeffrey L.",House of Representatives District 4,Lost,Lost,Republican,Elizabethton,No,2016,
"James, Joshua","James, Joshua",House of Representatives District 34,Lost,Lost,Republican,Murfreesboro,No,2016,
"Johnson, Murphey","Johnson, Murphey",House of Representatives District 6,Lost,Lost,Democrat,Johnson City,No,2016,
"Jones, Sherry","Jones, Sherry",House of Representatives District 59,Won,Won,Democrat,Nashville,No,2016,
"Jordan, Gayle","Jordan, Gayle",Senate District 14,Lost,Won,Democrat,Murfreesboro,No,2016,
"Kane, Roger","Kane, Roger",House of Representatives District 89,Won,Won,Republican,Knoxville,No,2016,
"Kawula, Gary","Kawula, Gary",House of Representatives District 3,Lost,Won,Independent,Bluff City,No,2016,
"Keen, Chad","Keen, Chad",House of Representatives District 1,Lost,Lost,Republican,Bristol,No,2016,
"Keller, Eric","Keller, Eric",House of Representatives District 33,Lost,Lost,Democrat,Oak Ridge,No,2016,
"Kerney, Neal","Kerney, Neal",Senate District 4,Lost,Lost,Republican,Kingsport,No,2016,
"King, Tamra","King, Tamra",House of Representatives District 92,Lost,Won,Democrat,Chapel Hill,No,2016,
"King, William","King, William",House of Representatives District 93,Lost,Won,Independent,Memphis,No,2016,
"Kyle, Jim","Kyle, Jim",Senate District 30,Lost,Lost,Democrat,Memphis,No,2016,
"Lane, Steve","Lane, Steve",Senate District 14,Lost,Lost,Republican,Murfreesboro,No,2016,
"Ledbetter, Harry","Ledbetter, Harry",House of Representatives District 86,Lost,Lost,Democrat,Memphis,No,2016,
"Leflore, Jr., Willie","Leflore, Jr., Willie",House of Representatives District 96,Lost,Lost,Democrat,Memphis,No,2016,
"Leonard-Pugh, Ellen","Leonard-Pugh, Ellen",House of Representatives District 58,Lost,Lost,Democrat,Nashville,No,2016,
