Original-donor-name,Company-affiliated-name,Bought out/name change
Tn Wine And Spirits Retailers Assn.,Tennessee Wine And Spirits Retailers Association,
Tn. Assn. Of Utility Districts,Tennessee Association of Utility Districts,
Tn911,Tennessee911,
Total Wine & More,Total Wine & More,
Toyota Motor Engineering & Manufacturing North America,Toyota,
"Toyota Motor North America, Inc.",Toyota,
Tslms,TSLMS,
Turo,Turo,
Turo Inc.,Turo,
Tv4Us,Tv4Us,
U.S. Chamber Institute For Legal Reform,U.S. Chamber of Commerce,
U.S. Chamber Of Commerce,U.S. Chamber of Commerce,
"Uber Technologies, Inc.",Uber,
"Uhs Of Delaware, Inc. - Behavioral Health Division",UHS of Delaware,
United Healthcare,United Healthcare,
United Healthcare Services,United Healthcare,
"United Healthcare Services, Inc.",United Healthcare,
Unitedhealth Group Inc Pac (United For Health),United Healthcare,
Unitedhealth Group Incorporated,United Healthcare,
"Universal Fairs, Llc",Universal Fairs,
"Universal Fairs, Llc/Delta-Agribusiness",Universal Fairs,
"University Health System, Inc.",University of Tennessee Medical Center,
University Of Memphis Foundation,University of Memphis Foundation,
University Of Memphis Research Foundation,University of Memphis Foundation,
University Of Tennessee Medical Center,University of Tennessee Medical Center,
Unum Group,Unum Group,
Unum Pac,Unum Group,
Ut-Battelle,University of Tennessee Battelle,
Valero Energy Corp. Pac,Valero Energy,
Valero Refining Llc,Valero Energy,
Vanderbilt University,Vanderbilt University,
Vanderbilt University Medical Center,Vanderbilt University Medical Center,
Vera Institute Of Justice,Vera Institute of Justice,
"Vera Institute Of Justice, Inc.",Vera Institute of Justice,
Verizon,Verizon,
Verizon Communications,Verizon,
Verizon Pac,Verizon,
Verizon Wireless,Verizon,
Visa U.S.A. Inc.,Visa,
"Visa, Inc.",Visa,
"Visa, U.S.A. Inc.",Visa,
Volkswagen,Volkswagen,
Volkswagen America Inc.,Volkswagen,
"Volkswagen America Inc., Volkswagen Group Of America",Volkswagen,
Volkswagen Group Of America,Volkswagen,
"Volkswagen Group Of America, Inc.",Volkswagen,
Vulcan Construction Materials,Vulcan Construction Materials,
"Vulcan Construction Materials, Lp",Vulcan Construction Materials,
Vulcan Materials Co. Pac,Vulcan Construction Materials,
Walmart,Walmart ,
Walmart Inc.,Walmart ,
"Walton, Alice","Jim and Alice Walton (Bentonville, Ark.)",
"Walton, Jim","Jim and Alice Walton (Bentonville, Ark.)",
Waste Management,Waste Management,
Waste Management Employees Better Govt. Fund,Waste Management,
"Waste Management Inc, Of Tennessee",Waste Management,
Wellcare Comprehensive Health Management,Centene - Wellcare,
"Wellcare Health Plans, Inc.",Centene - Wellcare,
"Wellcare Health Plans, Inc. And Its Subsidiaries",Centene - Wellcare,
Wellmont Health System,Ballad Health,
"West Tennessee Chapter Of Associated Builders & Contractors, Inc.",Associated Builders & Contractors (All Tennessee Chapters),
Wholesalers Assn Pac,Wholesalers Assocation,
Wilson & Assoc Engineering,"Wilson & Associates, Engineering",
Wilson & Assoc.  Pllc,"Wilson & Associates, Engineering",
Wilson & Associates,"Wilson & Associates, Engineering",
Wilson & Associates Environmental Divisi,"Wilson & Associates, Engineering",
Wilson & Associates Pllc,"Wilson & Associates, Engineering",
"Wilson & Associates, Engineering ","Wilson & Associates, Engineering",
"Wilson & Associates, Engineering - Surveying, P.C.","Wilson & Associates, Engineering",
"Wilson & Associates, Pllc","Wilson & Associates, Engineering",
Wilson And Associates,"Wilson & Associates, Engineering",
"Wilson, Justin","Wilson, Justin",
"Wilson, Justin P","Wilson, Justin",
"Wilson, Justin P.","Wilson, Justin",
"Wilson, Justin Potter","Wilson, Justin",
Wine And Spirit Wholesalers Of Tennessee,Wine And Spirit Wholesalers of Tennessee,
Wine And Spirit Wholesalers Of Tn,Wine And Spirit Wholesalers of Tennessee,
Wine Institute,Wine Institute,
Winton Capital Group Us Llc,Winton Capital,
Winton Capital Us Llc,Winton Capital,
Wireless Infrastructure Association,Wireless Infrastructure Association,
Wireless Infrastructure Association C/O Multistate Associates Inc.,Wireless Infrastructure Association,
Wswt Political Action Committee,Wine And Spirit Wholesalers of Tennessee,
"Xerox Business Services, Llc And Its Affiliates",Xerox,
Xerox Corporation,Xerox,
Ymca Of Middle Tennessee,YMCA of Middle Tennessee,
Youth Opportunity Investments,Youth Opportunity Investments,
"Youth Opportunity Investments, Llc.",Youth Opportunity Investments,
Youth Villages Inc,Youth Villages,
Ywca Nashville & Middle Tennessee,YMCA of Middle Tennessee,
Ywca Of Nashville And Middle Tennessee,YMCA of Middle Tennessee,
Zac Pac,"Zachary, Jason",
Yellow Rose Pac,"Kyle, Sara",
West Tn Cream Of The Crop,"Wirgau, Timothy",
Tristar Pac,"Jernigan, Darren",
Todd For A Better Tennessee Pac,"Todd, Chris",
Tn-K Pac,"Brooks, Kevin",
The Overbey Pac,"Overbey, Doug",
Tennessee'S Tomorrow Pac,"Yarbro, Jeff",
Tennessee Victory Pac,"Roberts, Kerry",
Tennessee Tomorrow,Tennessee Democratic Caucus,
Tennessee Republican Caucus,Tennessee Republican Caucus,
Tennessee Legislative Democrats,Tennessee Democratic Caucus,
Tennessee Legislative Campaign Committee,Tennessee Republican Caucus,
Tennessee Forward Political Action Committee,"Stewart, Mike",
Tennessee Democratic Party,Tennessee Democratic Caucus,
Tennessee Black Caucus Of State Legislators,Tennessee Democratic Caucus,
Tennessee Black Caucus Of State Legislators,Tennessee Democratic Caucus,
Tennesseans For Good State Government,"Harwell, Beth",
Stevens Pac,"Stevens, John",
Sheila'S Liberty Pac,"Butt, Sheila",
Senate Republican Caucus,Tennessee Republican Caucus,
Senate Democratic Caucus,Tennessee Democratic Caucus,
Sand Pac,"Sanderson, Bill",
Ry - Pac,"Williams, Ryan",
Right Tennessee,"Casada, Glen",
Reeves-Sain Pac,"Reeves, William",
Reedy Pac,"Reedy, Jay",
Red State Pac,"Kelsey, Brian",
Raampac,"Ramsey, Ron",
Quest Pac,"Ketron, Bill",
People Working For Reform,"Hill, Timothy",
Pb Pac,"Bailey, Paul",
Overmountain Pac,"Hill, Matthew",
Nash Pac,"Lundberg, Jon",
Mumpac,"Mumpower, Jason",
Mpac,"Norris, Mark",
Movement For Justice,"Pearson, Justin",
Mgc Pac,"Curcio, Michael G.",
Memphis Progressives,"Lamar, London",
Mcpac,"McNally, Randy",
Mccormick Pac,"Mccormick, Gerald",
Matlock Pac For Tennessee,"Matlock, Jimmy",
Marsh For Tennessee Business Pac,"Marsh, Pat",
Lamberth Pac,"Lamberth, William",
Kpac,"Williams, W. Kent",
Keypac,"Yager, Ken",
Kevpac,"Vaughan, Kevin",
Johnson Victory Pac,"Johnson, Curtis",
Joe Pac,"Carr, Joe",
Jobs4Tn Pac,"Haslam, Bill",
Jim Tracy Leadership Pac,"Tracy, Jim",
Jcb Pac,"Boyd, Clark",
Jack - Pac,"Johnson, Jack",
Invictus Pac,"Clemmons, John Ray",
Insurance And Banking Pac,"Travis, Ron",
House Senate Democratic Caucus,Tennessee Democratic Caucus,
House Republican Caucus,Tennessee Republican Caucus,
House Democratic Caucus,Tennessee Democratic Caucus,
Haz-Pac,"Hazlewood, Patsy",
Harwell Pac,"Harwell, Beth Halteman",
Haile Pac,"Haile, Ferrell",
Green Pac,"Green, Mark",
Garrett Pac,"Garrett, Johnny",
G-Pac,"Grills, Rusty",
Fitz Pac,"Fitzhugh, Craig",
Faison'S Freedom,"Faison, Jeremy",
Envision Tennessee,"Yarbro, Jeff",
Durham Pac,"Durham, Jeremy",
Dickson County Republican Party,"Littleton, Mary",
Curtiss Pac,"Curtiss, Charles",
Camp Pac,"Camper, Karen",
Cam Pac,"Sexton, Cameron",
Briggs Pac,"Briggs, Richard",
Bowpac,"Watson, Bo",
Bow-Pac,"Watson, Bo",
Bell Pac,"Bell, Mike",
Becpac,"McCalmon, Jacob",
Akbari Pac,"Akbari, Raumesh",
Bill Lee Inauguration,"Lee, Bill",
